ParName   Value   Gradient
recdev1(1961)     0.200232  -0.00350807
recdev1(1962)    -0.234196  -0.00186697
recdev1(1963)    -0.301866  -0.00166932
recdev1(1964)     0.170322  -0.00335417
recdev1(1965)   -0.0844305    -0.002162
recdev1(1966)      0.69661  -0.00543622
recdev1(1967)    -0.131004  -0.00155693
recdev1(1968)   -0.0652386  -0.00128231
recdev1(1969)    0.0491235  -0.00154313
recdev1(1970)     0.175753  -0.00205795
recdev1(1971)    0.0632826  -0.00167263
recdev1(1972)    -0.162676  -0.00109852
recdev1(1973)      -0.2646 -0.000729282
recdev1(1974)   -0.0461246 -0.000804149
recdev1(1975)   -0.0145873 -0.000462925
recdev1(1976)     0.275821 -0.000243659
recdev1(1977)     0.361202   -0.0001102
recdev1(1978)     0.163352  0.000163561
recdev1(1979)    -0.085461  0.000457154
recdev1(1980)   -0.0206643  0.000526928
recdev1(1981)    -0.163668  0.000626838
recdev1(1982)    -0.175993  0.000475429
recdev1(1983)   -0.0520474  0.000363523
recdev1(1984)     0.301509  0.000153451
recdev1(1985)    -0.178777  0.000715951
recdev1(1986)    -0.603732    0.0012064
recdev1(1987)    -0.444628   0.00120719
recdev1(1988)    0.0125347  0.000980366
recdev1(1989)     0.324476  0.000588351
recdev1(1990)     0.291344  0.000822256
recdev1(1991)    -0.158251   0.00103114
recdev1(1992)    -0.574091   0.00125807
recdev1(1993)    0.0585736   0.00114033
recdev1(1994)     0.240043  0.000835683
recdev1(1995)      -0.3434  0.000775906
recdev1(1996)    -0.228037  0.000876908
recdev1(1997)     -0.22206    0.0011817
recdev1(1998)     0.654334  0.000821652
recdev1(1999)     0.216223  0.000855277
recdev1(2000)     -0.14471  0.000864196
recdev1(2001)    -0.221353   0.00095861
recdev1(2002)    -0.142628   0.00104046
recdev1(2003)     -0.38465  0.000734844
recdev1(2004)    -0.163691   0.00102792
recdev1(2005)   -0.0859676   0.00118876
recdev1(2006)     0.517299  0.000934339
recdev1(2007)     0.722214   0.00116516
recdev1(2008)      1.00819  0.000945395
recdev1(2009)     0.123725   0.00100019
recdev1(2010)    -0.134388   0.00101816
recdev1(2011)  -0.00226759   0.00107492
recdev1(2012)     0.338751   0.00103724
recdev1(2013)    -0.238828     0.001066
recdev1(2014)    -0.260996    0.0012356
recdev1(2015)     -0.32955   0.00112978
recdev1(2016)    -0.102334   0.00109396
Fcast_recruitments(2017)    -0.121855  2.47315e-06
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Q_parm[1]     -7.01915  -3.9298e-05
Q_parm[2]    -0.120823 -0.000242175
Q_parm[3]      -1.3472 -2.85688e-05
Q_parm[4]    -0.852654 -3.97333e-05
Q_parm[6]     0.218021  2.29578e-06
Q_parm[8]     0.312559  7.25229e-06
Q_parm[10]     0.490021 -4.41012e-05
Q_parm[11]     0.619915 -1.70076e-07
selparm[1]      48.6805  -0.00188885
selparm[3]      4.30771   0.00278744
