"Years","Landings","Total Dead"
1999,"509","599"
2000,"133","156"
2001,"264","310"
2002,"150","176"
2003,"134","157"
2004,"122","144"
2005,"64","76"
2006,"72","86"
2007,"132","156"
2008,"86","134"
2009,"95","202"
2010,"91","141"
