"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1889",9311.02,7821.22,6569.78,5518.53,4634.83,3890.45,3263.37,2736.41,2294.53,1924.32,1614.2,1354.39,1136.68,954.21,801.219,672.873,565.138,474.67,398.691,334.877,281.279,236.26,198.447,166.686,140.008,117.6,98.7779,82.9686,69.6896,58.5358,49.1673,41.2981,34.6884,29.1366,24.4733,20.5564,17.2664,14.5029,12.1817,10.2321,53.699
"1890",9310.51,7820.81,6569.45,5518.27,4634.56,3889.93,3262.43,2735.04,2292.84,1922.43,1612.22,1352.39,1134.72,952.321,799.444,671.267,563.738,473.477,397.682,334.026,280.563,235.658,197.941,166.26,139.65,117.299,98.5258,82.7568,69.5117,58.3864,49.0417,41.1927,34.5998,29.0622,24.4108,20.5039,17.2223,14.4659,12.1506,10.2059,53.5619
"1891",9309.98,7820.37,6569.1,5517.99,4634.26,3889.4,3261.45,2733.63,2291.12,1920.52,1610.23,1350.39,1132.75,950.429,797.655,669.607,562.247,472.182,396.58,333.095,279.777,234.997,197.385,165.793,139.258,116.97,98.249,82.5243,69.3164,58.2224,48.9039,41.0769,34.5026,28.9805,24.3422,20.4463,17.1739,14.4252,12.1165,10.1773,53.4114
"1892",9309.44,7819.93,6568.74,5517.69,4633.95,3888.84,3260.46,2732.21,2289.37,1918.59,1608.21,1348.36,1130.78,948.535,795.865,667.936,560.712,470.811,395.393,332.086,278.925,234.278,196.78,165.285,138.831,116.611,97.9476,82.2712,69.1037,58.0438,48.7539,40.9509,34.3968,28.8916,24.2675,20.3835,17.1212,14.381,12.0793,10.146,53.2475
"1893",9308.91,7819.48,6568.36,5517.38,4633.63,3888.26,3259.45,2730.76,2287.61,1916.64,1606.18,1346.33,1128.79,946.639,794.072,666.263,559.167,469.404,394.142,331.006,278.008,233.504,196.128,164.736,138.369,116.223,97.6218,81.9975,68.8738,57.8506,48.5917,40.8146,34.2823,28.7955,24.1868,20.3157,17.0642,14.3331,12.0391,10.1123,53.0703
"1894",9308.39,7819.04,6567.99,5517.07,4633.3,3887.68,3258.42,2729.3,2285.83,1914.67,1604.12,1344.27,1126.79,944.729,792.278,664.589,557.621,467.988,392.861,329.873,277.031,232.675,195.428,164.147,137.874,115.807,97.2716,81.7033,68.6268,57.6431,48.4174,40.6682,34.1593,28.6922,24.1,20.2428,17.003,14.2817,11.9959,10.076,52.8799
"1895",9307.89,7818.6,6567.61,5516.75,4632.96,3887.08,3257.38,2727.82,2284.03,1912.68,1602.05,1342.2,1124.78,942.808,790.472,662.913,556.073,466.571,391.574,328.714,276.01,231.797,194.684,163.518,137.344,115.361,96.8974,81.3889,68.3627,57.4212,48.231,40.5117,34.0278,28.5817,24.0072,20.1649,16.9375,14.2267,11.9497,10.0372,52.6763
"1896",9307.41,7818.18,6567.24,5516.43,4632.61,3886.47,3256.33,2726.33,2282.21,1910.67,1599.97,1340.12,1122.75,940.874,788.656,661.228,554.525,465.154,390.286,327.55,274.969,230.882,193.898,162.852,136.783,114.888,96.4994,81.0544,68.0816,57.1852,48.0327,40.3451,33.8879,28.4642,23.9085,20.082,16.8679,14.1682,11.9006,9.99593,52.4597
"1897",9306.97,7817.78,6566.89,5516.12,4632.27,3885.86,3255.26,2724.82,2280.38,1908.65,1597.86,1338.01,1120.7,938.923,786.825,659.53,552.965,463.733,388.994,326.384,273.921,229.948,193.08,162.151,136.188,114.387,96.0776,80.6996,67.7834,56.9346,47.8223,40.1683,33.7394,28.3395,23.8037,19.994,16.794,14.1061,11.8484,9.95212,52.2297
"1898",9306.57,7817.4,6566.55,5515.82,4631.93,3885.25,3254.2,2723.31,2278.54,1906.61,1595.75,1335.9,1118.65,936.962,784.985,657.824,551.399,462.306,387.703,325.218,272.873,229.011,192.248,161.424,135.566,113.86,95.6333,80.3255,67.4688,56.6702,47.6001,39.9817,33.5827,28.2078,23.6932,19.9011,16.7159,14.0406,11.7934,9.90588,51.9871
"1899",9306.23,7817.07,6566.24,5515.53,4631.6,3884.65,3253.13,2721.79,2276.69,1904.57,1593.62,1333.77,1116.58,934.994,783.138,656.111,549.827,460.874,386.407,324.052,271.826,228.074,191.413,160.686,134.922,113.309,95.1673,79.9328,67.1382,56.3922,47.3665,39.7854,33.4178,28.0693,23.5768,19.8034,16.6339,13.9716,11.7355,9.85723,51.7317
"1900",9305.95,7816.78,6565.96,5515.27,4631.28,3884.05,3252.06,2720.26,2274.84,1902.52,1591.49,1331.64,1114.51,933.017,781.283,654.392,548.248,459.436,385.107,322.883,270.779,227.138,190.579,159.945,134.269,112.741,94.6816,79.522,66.792,56.1008,47.1214,39.5795,33.2448,27.924,23.4547,19.7008,16.5477,13.8993,11.6747,9.80619,51.4639
"1901",9305.76,7816.55,6565.72,5515.03,4630.98,3883.45,3250.99,2718.74,2272.97,1900.47,1589.35,1329.5,1112.42,931.033,779.421,652.666,546.664,457.994,383.802,321.709,269.729,226.202,189.746,159.206,133.615,112.165,94.1815,79.0948,66.4308,55.7965,46.8653,39.3641,33.0638,27.7719,23.327,19.5935,16.4576,13.8236,11.6111,9.75278,51.1836
"1902",9305.65,7816.38,6565.52,5514.82,4630.7,3882.87,3249.93,2717.21,2271.11,1898.4,1587.2,1327.35,1110.34,929.042,777.552,650.934,545.074,456.546,382.493,320.533,268.676,225.264,188.913,158.466,132.961,111.588,93.675,78.6557,66.0561,55.4797,46.5984,39.1396,32.875,27.6132,23.1937,19.4816,16.3636,13.7446,11.5448,9.69704,50.891
"1903",9305.65,7816.3,6565.38,5514.66,4630.45,3882.31,3248.88,2715.68,2269.24,1896.34,1585.05,1325.2,1108.24,927.045,775.679,649.196,543.479,455.095,381.181,319.353,267.62,224.323,188.078,157.728,132.307,111.012,93.1676,78.2114,65.6715,55.1517,46.3213,38.9061,32.6785,27.4481,23.0549,19.365,16.2656,13.6623,11.4757,9.63899,50.5863
"1904",9305.78,7816.3,6565.31,5514.54,4630.23,3881.77,3247.84,2714.16,2267.37,1894.26,1582.89,1323.04,1106.14,925.043,773.8,647.455,541.881,453.639,379.865,318.17,266.562,223.381,187.242,156.988,131.654,110.436,92.661,77.7665,65.2826,54.8156,46.0348,38.6641,32.4747,27.2766,22.9107,19.2438,16.1638,13.5768,11.4039,9.57867,50.2698
"1905",9306.05,7816.41,6565.31,5514.47,4630.05,3881.26,3246.81,2712.65,2265.51,1892.19,1580.73,1320.88,1104.03,923.036,771.917,645.709,540.279,452.181,378.546,316.984,265.502,222.437,186.404,156.247,131.001,109.861,92.1551,77.3224,64.8935,54.4761,45.7417,38.4145,32.2639,27.099,22.7614,19.1182,16.0583,13.4882,11.3294,9.51612,49.9415
"1906",9306.49,7816.63,6565.4,5514.47,4629.92,3880.77,3245.8,2711.15,2263.65,1890.12,1578.57,1318.71,1101.92,921.025,770.029,643.96,538.673,450.719,377.225,315.797,264.439,221.491,185.564,155.504,130.346,109.285,91.65,76.879,64.5051,54.1364,45.4458,38.1594,32.0467,26.9156,22.607,18.9883,15.9491,13.3964,11.2523,9.45137,49.6016
"1907",9307.11,7817,6565.59,5514.54,4629.84,3880.32,3244.82,2709.66,2261.79,1888.05,1576.4,1316.54,1099.81,919.009,768.138,642.207,537.065,449.256,375.902,314.607,263.376,220.543,184.724,154.761,129.691,108.709,91.1445,76.4364,64.1174,53.7974,45.1499,37.902,31.825,26.7271,22.4477,18.8543,15.8363,13.3016,11.1726,9.38445,49.2504
"1908",9307.95,7817.52,6565.9,5514.7,4629.82,3879.92,3243.86,2708.18,2259.94,1885.98,1574.24,1314.37,1097.69,916.991,766.244,640.452,535.454,447.789,374.576,313.416,262.31,219.595,183.883,154.018,129.036,108.133,90.6387,75.9936,63.7305,53.4592,44.8548,37.6447,31.6016,26.5348,22.2843,18.7163,15.7202,13.2039,11.0905,9.31543,48.888
"1909",9309.01,7818.22,6566.34,5514.95,4629.87,3879.56,3242.94,2706.73,2258.11,1883.92,1572.07,1312.19,1095.58,914.97,764.347,638.693,533.841,446.321,373.249,312.224,261.244,218.646,183.041,153.273,128.38,107.556,90.1328,75.5508,63.3436,53.1218,44.5603,37.3881,31.3783,26.3411,22.1178,18.5748,15.6007,13.1033,11.0059,9.24434,48.5148
"1910",9310.36,7819.12,6566.93,5515.32,4630,3879.27,3242.06,2705.31,2256.29,1881.87,1569.91,1310.02,1093.46,912.948,762.448,636.933,532.225,444.851,371.921,311.03,260.177,217.696,182.198,152.528,127.723,106.979,89.6268,75.108,62.9568,52.7844,44.2665,37.1322,31.1557,26.1476,21.9501,18.4308,15.4784,13.0001,10.9191,9.17128,48.1309
