"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1890",9310.51,7918.54,6734.65,5727.6,4870.58,4140.7,3518.8,2989.03,2538.15,2154.89,1829.48,1553.39,1319.25,1120.68,952.226,809.288,687.952,584.906,497.355,422.941,359.675,305.879,260.132,221.227,188.142,160.005,136.075,115.725,98.418,83.6993,71.1819,60.5365,51.4831,43.7837,37.2357,31.667,26.9311,22.9035,19.4783,16.5652,94.2004
"1891",9309.98,7918.1,6734.29,5727.3,4870.27,4140.29,3518.17,2988.11,2536.92,2153.39,1827.78,1551.58,1317.38,1118.8,950.397,807.542,686.323,583.423,496.034,421.786,358.678,305.025,259.403,220.607,187.614,159.555,135.693,115.4,98.1415,83.4642,70.9819,60.3664,51.3384,43.6606,37.1311,31.578,26.8555,22.8392,19.4235,16.5187,93.9357
"1892",9309.44,7917.65,6733.91,5726.98,4869.95,4139.85,3517.51,2987.16,2535.67,2151.87,1826.07,1549.76,1315.51,1116.93,948.564,805.783,684.665,581.891,494.648,420.557,357.606,304.101,258.612,219.932,187.039,159.066,135.277,115.046,97.8404,83.2081,70.7641,60.1811,51.1809,43.5267,37.0172,31.4811,26.7731,22.7691,19.3639,16.468,93.6474
"1893",9308.91,7917.2,6733.53,5726.64,4869.6,4139.4,3516.84,2986.19,2534.39,2150.33,1824.34,1547.91,1313.62,1115.05,946.729,804.02,682.996,580.334,493.221,419.273,356.471,303.113,257.761,219.204,186.418,158.537,134.827,114.663,97.5149,82.9313,70.5287,59.9809,51.0106,43.3818,36.894,31.3764,26.684,22.6933,19.2995,16.4132,93.3358
"1894",9308.39,7916.75,6733.14,5726.3,4869.25,4138.93,3516.15,2985.21,2533.1,2148.77,1822.58,1546.04,1311.71,1113.16,944.89,802.254,681.323,578.768,491.773,417.954,355.29,302.073,256.857,218.426,185.753,157.97,134.344,114.252,97.1651,82.6338,70.2756,59.7657,50.8276,43.2262,36.7616,31.2638,26.5882,22.6119,19.2302,16.3543,93.0009
"1895",9307.89,7916.3,6732.76,5725.96,4868.89,4138.45,3515.45,2984.21,2531.79,2147.2,1820.81,1544.16,1309.79,1111.25,943.038,800.486,679.649,577.199,490.317,416.617,354.079,300.992,255.908,217.603,185.045,157.365,133.828,113.813,96.7913,82.3157,70.0052,59.5357,50.6319,43.0598,36.6201,31.1435,26.4859,22.5249,19.1562,16.2914,92.6429
"1896",9307.41,7915.87,6732.38,5725.61,4868.53,4137.97,3514.74,2983.2,2530.47,2145.61,1819.03,1542.26,1307.85,1109.33,941.174,798.707,677.972,575.629,488.859,415.275,352.854,299.888,254.926,216.741,184.299,156.724,133.28,113.346,96.3937,81.9774,69.7174,59.2909,50.4238,42.8828,36.4695,31.0154,26.377,22.4322,19.0774,16.2244,92.2619
"1897",9306.97,7915.47,6732.01,5725.28,4868.16,4137.48,3514.01,2982.17,2529.13,2143.99,1817.22,1540.34,1305.89,1107.39,939.291,796.911,676.281,574.053,487.397,413.927,351.621,298.769,253.921,215.851,183.519,156.049,132.701,112.851,95.9721,81.6185,69.412,59.0311,50.2028,42.6948,36.3097,30.8795,26.2614,22.3339,18.9938,16.1533,91.8575
"1898",9306.57,7915.09,6731.67,5724.95,4867.8,4136.99,3513.29,2981.14,2527.78,2142.37,1815.4,1538.41,1303.92,1105.43,937.399,795.107,674.582,572.47,485.933,412.579,350.388,297.646,252.907,214.943,182.717,155.348,132.095,112.331,95.528,81.24,69.0898,58.757,49.9696,42.4965,36.141,30.736,26.1394,22.2302,18.9056,16.0782,91.4307
"1899",9306.23,7914.75,6731.35,5724.64,4867.45,4136.51,3512.57,2980.1,2526.42,2140.74,1813.57,1536.47,1301.94,1103.47,935.497,793.293,672.876,570.879,484.464,411.231,349.154,296.523,251.889,214.028,181.9,154.628,131.467,111.788,95.0625,80.8426,68.7511,58.4687,49.7243,42.2878,35.9635,30.5851,26.011,22.121,18.8127,15.9992,90.9817
"1900",9305.95,7914.46,6731.06,5724.35,4867.12,4136.03,3511.84,2979.07,2525.06,2139.1,1811.74,1534.52,1299.95,1101.5,933.586,791.472,671.161,569.282,482.989,409.878,347.92,295.4,250.871,213.109,181.077,153.895,130.822,111.227,94.5778,80.4271,68.3963,58.1664,49.4671,42.0689,35.7773,30.4267,25.8763,22.0064,18.7153,15.9164,90.5105
"1901",9305.76,7914.23,6730.81,5724.09,4866.8,4135.56,3511.12,2978.03,2523.7,2137.46,1809.89,1532.56,1297.95,1099.52,931.667,789.642,669.439,567.679,481.508,408.52,346.681,294.276,249.854,212.191,180.251,153.158,130.167,110.651,94.0773,79.9954,68.0265,57.8507,49.1981,41.84,35.5826,30.261,25.7354,21.8866,18.6134,15.8297,90.0176
"1902",9305.65,7914.06,6730.61,5723.86,4866.51,4135.11,3510.41,2976.99,2522.33,2135.81,1808.04,1530.59,1295.94,1097.53,929.74,787.805,667.711,566.069,480.021,407.157,345.439,293.149,248.836,211.273,179.426,152.418,129.508,110.068,93.5652,79.5505,67.643,57.5223,48.9178,41.6012,35.3793,30.0881,25.5883,21.7615,18.507,15.7392,89.503
"1903",9305.65,7913.97,6730.46,5723.67,4866.24,4134.68,3509.71,2975.96,2520.97,2134.16,1806.19,1528.62,1293.93,1095.54,927.807,785.962,665.976,564.454,478.53,405.789,344.192,292.019,247.815,210.355,178.601,151.679,128.848,109.48,93.0464,79.096,67.2485,57.1825,48.6268,41.353,35.1679,29.9082,25.4352,21.6313,18.3962,15.645,88.9672
"1904",9305.78,7913.97,6730.39,5723.54,4866.01,4134.27,3509.03,2974.94,2519.6,2132.51,1804.33,1526.64,1291.91,1093.54,925.867,784.113,664.236,562.833,477.034,404.418,342.943,290.886,246.792,209.435,177.776,150.94,128.188,108.892,92.5246,78.6358,66.846,56.8334,48.3263,41.0957,34.9484,29.7213,25.2761,21.4959,18.2811,15.5471,88.4104
"1905",9306.05,7914.08,6730.39,5723.45,4865.82,4133.89,3508.36,2973.92,2518.24,2130.85,1802.46,1524.66,1289.88,1091.53,923.922,782.259,662.492,561.209,475.534,403.043,341.69,289.75,245.767,208.513,176.95,150.202,127.528,108.305,92.0023,78.1734,66.4389,56.4777,48.0182,40.8306,34.7215,29.5277,25.1113,21.3556,18.1618,15.4456,87.833
"1906",9306.49,7914.31,6730.48,5723.44,4865.67,4133.54,3507.71,2972.92,2516.89,2129.2,1800.6,1522.67,1287.85,1089.52,921.971,780.4,660.742,559.58,474.03,401.664,340.434,288.612,244.74,207.59,176.123,149.463,126.87,107.718,91.4807,77.7107,66.0299,56.1182,47.7045,40.559,34.488,29.3279,24.9408,21.2105,18.0382,15.3405,87.2353
"1907",9307.11,7914.68,6730.67,5723.5,4865.58,4133.23,3507.1,2971.94,2515.54,2127.55,1798.73,1520.68,1285.82,1087.5,920.016,778.536,658.989,557.948,472.524,400.283,339.176,287.471,243.711,206.665,175.294,148.723,126.21,107.132,90.9598,77.2486,65.6209,55.7574,47.3877,40.2829,34.2491,29.1225,24.7652,21.0607,17.9107,15.232,86.6176
"1908",9307.95,7915.21,6730.98,5723.65,4865.56,4132.97,3506.51,2970.98,2514.21,2125.91,1796.87,1518.69,1283.78,1085.48,918.058,776.669,657.233,556.312,471.014,398.9,337.915,286.329,242.68,205.738,174.464,147.982,125.55,106.545,90.4397,76.7874,65.2125,55.3965,47.0698,40.0042,34.0064,28.9127,24.5849,20.9065,17.7792,15.12,85.9804
"1909",9309.01,7915.92,6731.43,5723.89,4865.61,4132.76,3505.96,2970.04,2512.9,2124.28,1795.01,1516.7,1281.75,1083.46,916.096,774.799,655.473,554.674,469.502,397.514,336.653,285.185,241.648,204.811,173.634,147.24,124.89,105.959,89.9194,76.3269,64.805,55.0364,46.7521,39.7248,33.7617,28.6998,24.401,20.7486,17.6442,15.0048,85.3241
"1910",9310.36,7916.83,6732.04,5724.26,4865.75,4132.62,3505.46,2969.14,2511.6,2122.66,1793.16,1514.72,1279.71,1081.44,914.133,772.926,653.711,553.033,467.988,396.127,335.389,284.04,240.615,203.883,172.802,146.498,124.229,105.371,89.399,75.8665,64.3983,54.6771,46.4351,39.4455,33.5164,28.4853,24.2145,20.5875,17.5059,14.8867,84.6492
"1911",9312.01,7917.97,6732.81,5724.76,4865.98,4132.54,3505.01,2968.27,2510.33,2121.05,1791.32,1512.73,1277.67,1079.41,912.168,771.051,651.946,551.391,466.472,394.738,334.124,282.894,239.581,202.954,171.971,145.755,123.568,104.784,88.8785,75.4061,63.9917,54.3186,46.1189,39.167,33.2714,28.2704,24.0267,20.4244,17.3651,14.7659,83.9564
"1912",9314.01,7919.38,6733.78,5725.4,4866.33,4132.55,3504.62,2967.44,2509.09,2119.47,1789.49,1510.76,1275.64,1077.39,910.203,769.176,650.181,549.747,464.954,393.347,332.858,281.747,238.547,202.024,171.139,145.012,122.906,104.197,88.3582,74.9458,63.5854,53.9603,45.8035,38.8893,33.0271,28.0558,23.8387,20.2603,17.2227,14.643,83.2464
"1913",9316.39,7921.08,6734.97,5726.2,4866.8,4132.65,3504.29,2966.66,2507.88,2117.9,1787.67,1508.79,1273.61,1075.37,908.238,767.3,648.414,548.101,463.436,391.956,331.591,280.599,237.512,201.095,170.306,144.27,122.245,103.61,87.8379,74.4858,63.1792,53.6024,45.4885,38.6123,32.7836,27.8418,23.651,20.096,17.0794,14.5187,82.5206
"1914",9319.19,7923.11,6736.42,5727.2,4867.41,4132.86,3504.05,2965.94,2506.71,2116.37,1785.87,1506.84,1271.59,1073.35,906.275,765.424,646.647,546.456,461.916,390.564,330.324,279.451,236.477,200.165,169.474,143.527,121.584,103.023,87.318,74.0261,62.7734,53.2448,45.1738,38.3357,32.5408,27.6286,23.4639,19.932,16.936,14.3938,81.7806
"1915",9322.45,7925.49,6738.14,5728.41,4868.18,4133.18,3503.89,2965.28,2505.58,2114.86,1784.09,1504.89,1269.58,1071.34,904.316,763.551,644.881,544.81,460.397,389.171,329.056,278.302,235.441,199.235,168.642,142.784,120.924,102.437,86.7984,73.5667,62.3681,52.8876,44.8595,38.0596,32.2984,27.4161,23.2775,19.7687,16.793,14.2689,81.0283
"1916",9326.19,7928.25,6740.16,5729.86,4869.13,4133.64,3503.83,2964.69,2504.51,2113.39,1782.34,1502.97,1267.58,1069.34,902.361,761.68,643.117,543.165,458.878,387.779,327.788,277.154,234.406,198.306,167.81,142.042,120.263,101.85,86.2794,73.1079,61.9631,52.5308,44.5457,37.7839,32.0565,27.204,23.0918,19.606,16.6506,14.1443,80.2661
"1917",9330.52,7931.44,6742.51,5731.57,4870.32,4134.34,3504.03,2964.38,2503.72,2112.19,1780.83,1501.25,1265.75,1067.48,900.526,759.909,641.436,541.59,457.418,386.436,326.562,276.041,233.401,197.401,167,141.319,119.619,101.278,85.7717,72.6587,61.5666,52.1812,44.238,37.5134,31.8191,26.9959,22.9094,19.4464,16.5109,14.022,79.5061
"1918",9334.05,7935.12,6745.2,5733.36,4870.8,4132.93,3500.44,2958.9,2497.03,2105.04,1773.8,1494.68,1259.77,1062.1,895.723,755.632,637.64,538.23,454.449,383.82,324.259,274.018,231.627,195.847,165.64,140.13,118.581,100.372,84.9822,71.9711,60.968,51.6606,43.7853,37.1201,31.4775,26.6994,22.6523,19.2233,16.3175,13.8543,78.4796
"1919",9339.54,7938.12,6748.35,5735.79,4873.01,4135.07,3502.23,2959.9,2496.99,2104.03,1772.07,1492.54,1257.48,1059.81,893.51,753.54,635.687,536.424,452.794,382.312,322.894,272.788,230.522,194.859,164.759,139.347,117.886,99.7577,84.4395,71.4926,60.5468,51.2903,43.4602,36.8351,31.2279,26.481,22.4613,19.0565,16.1719,13.7273,77.6773
"1920",9346.86,7942.79,6750.91,5738.61,4875.7,4138.49,3506.72,2965.02,2501.94,2108.14,1775.06,1494.47,1258.57,1060.32,893.638,753.414,635.39,536.016,452.317,381.799,322.368,272.266,230.017,194.378,164.307,138.926,117.498,99.4025,84.1163,71.2,60.283,51.0534,43.2483,36.646,31.0596,26.3316,22.3289,18.9395,16.0686,13.6363,77.073
"1921",9356.15,7949.02,6754.9,5740.95,4878.81,4142.56,3512.7,2972.99,2511.01,2117.09,1782.95,1500.88,1263.52,1064.05,896.439,755.519,636.968,537.186,453.17,382.408,322.789,272.544,230.186,194.466,164.335,138.912,117.454,99.338,84.039,71.1155,60.1955,50.9658,43.1627,36.5639,30.9821,26.2591,22.2618,18.8778,16.0123,13.5851,76.6894
"1922",9365.53,7956.92,6760.18,5744.24,4880.36,4144.12,3514.28,2975.53,2514.87,2121.86,1787.83,1505.18,1266.91,1066.52,898.151,756.671,637.723,537.656,453.431,382.515,322.785,272.462,230.05,194.296,164.146,138.713,117.254,99.1413,83.8498,70.9362,60.0276,50.8102,43.0195,36.4331,30.8631,26.1515,22.1649,18.7909,15.9345,13.5157,76.1995
"1923",9374.31,7964.89,6766.88,5748.54,4882.26,4143.18,3511.7,2971.6,2511.02,2119.06,1786.22,1504.35,1266.31,1065.81,897.225,755.58,636.559,536.492,452.309,381.454,321.795,271.547,229.212,193.533,163.454,138.09,116.694,98.6409,83.4038,70.5397,59.6759,50.4989,42.7447,36.1907,30.6498,25.964,22.0003,18.6465,15.8081,13.4051,75.474
"1924",9384.02,7972.36,6773.67,5754.23,4885.89,4144.74,3510.81,2969.28,2507.55,2115.65,1783.72,1502.87,1265.5,1065.21,896.55,754.737,635.586,535.467,451.292,380.478,320.875,270.691,228.422,192.81,162.798,137.496,116.16,98.1618,82.9757,70.1584,59.3372,50.1988,42.4792,35.9564,30.4432,25.7823,21.8406,18.5064,15.6853,13.2976,74.7641
"1925",9393.56,7980.62,6780.01,5759.83,4889.99,4145.97,3508.94,2964.23,2500.7,2107.8,1776.28,1496.73,1260.81,1061.62,893.594,752.104,633.138,533.185,449.196,378.583,319.178,269.178,227.079,191.62,161.746,136.569,115.343,97.4447,82.3466,69.6072,58.8549,49.7772,42.1111,35.6352,30.1633,25.5384,21.6284,18.3218,15.5248,13.1581,73.8738
"1926",9404.22,7988.73,6787.03,5765.22,4894.77,4149.49,3510.05,2962.74,2496.55,2102.15,1769.78,1490.57,1255.74,1057.74,890.629,749.668,630.967,531.163,447.308,376.847,317.607,267.77,225.823,190.505,160.757,135.695,114.572,96.7658,81.7499,69.0836,58.396,49.3755,41.7599,35.3285,29.8957,25.3051,21.4251,18.1448,15.3708,13.0243,73.0142
