"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1890",9469.24,8094.88,6919.97,5914.69,5051.17,4310.75,3678.56,3139.55,2680.06,2288.27,1954.15,1669.15,1426.01,1218.54,1041.46,890.206,760.944,650.455,556.014,475.289,406.285,347.299,296.877,253.776,216.932,185.437,158.515,135.502,115.829,99.0128,84.6379,72.35,61.846,52.8671,45.1917,38.6307,33.0222,28.228,24.1298,20.6266,121.447
"1891",9468.74,8094.47,6919.65,5914.33,5050.38,4309.31,3676.6,3137.24,2677.54,2285.65,1951.52,1666.57,1423.51,1216.16,1039.22,888.197,759.202,648.962,554.733,474.19,405.345,346.495,296.19,253.189,216.43,185.008,158.148,135.188,115.561,98.7835,84.4419,72.1824,61.7028,52.7447,45.0871,38.5412,32.9457,28.1626,24.0739,20.5788,121.166
"1892",9468.23,8094.05,6919.3,5913.96,5049.56,4307.85,3674.61,3134.9,2674.99,2283.02,1948.88,1663.98,1421.01,1213.77,1036.96,886.099,757.327,647.339,553.342,472.997,404.322,345.62,295.442,252.549,215.883,184.54,157.748,134.846,115.269,98.5338,84.2285,72,61.5469,52.6113,44.9731,38.4438,32.8625,28.0914,24.013,20.5268,120.86
"1893",9467.7,8093.61,6918.93,5913.57,5048.73,4306.37,3672.6,3132.54,2672.43,2280.36,1946.22,1661.37,1418.5,1211.38,1034.71,883.986,755.376,645.602,551.84,471.71,403.218,344.674,294.632,251.857,215.291,184.035,157.316,134.477,114.953,98.2637,83.9976,71.8026,61.3781,52.4671,44.8498,38.3384,32.7724,28.0144,23.9472,20.4705,120.528
"1894",9467.17,8093.16,6918.56,5913.17,5047.88,4304.88,3670.57,3130.16,2669.84,2277.69,1943.53,1658.74,1415.97,1208.98,1032.45,881.872,753.414,643.801,550.241,470.328,402.034,343.659,293.763,251.112,214.655,183.491,156.851,134.079,114.613,97.9733,83.7493,71.5904,61.1967,52.3121,44.7173,38.2251,32.6755,27.9316,23.8764,20.41,120.172
"1895",9466.63,8092.7,6918.17,5912.76,5047.01,4303.36,3668.52,3127.76,2667.24,2274.99,1940.84,1656.1,1413.43,1206.56,1030.18,879.756,751.45,641.989,548.587,468.865,400.77,342.576,292.834,250.317,213.975,182.909,156.354,133.654,114.25,97.6627,83.4838,71.3634,61.0027,52.1462,44.5755,38.1039,32.5719,27.843,23.8007,20.3453,119.791
"1896",9466.1,8092.24,6917.78,5912.34,5046.14,4301.83,3666.46,3125.34,2664.61,2272.28,1938.12,1653.44,1410.87,1204.13,1027.9,877.631,749.485,640.177,546.926,467.354,399.437,341.426,291.849,249.472,213.251,182.29,155.825,133.202,113.863,97.332,83.2011,71.1218,60.7961,51.9696,44.4245,37.9749,32.4616,27.7488,23.7201,20.2764,119.385
"1897",9465.57,8091.79,6917.39,5911.91,5045.25,4300.28,3664.36,3122.89,2661.96,2269.54,1935.38,1650.76,1408.29,1201.68,1025.6,875.493,747.508,638.361,545.26,465.835,398.061,340.213,290.803,248.577,212.484,181.633,155.263,132.721,113.452,96.9809,82.9009,70.8652,60.5768,51.7821,44.2643,37.8379,32.3445,27.6486,23.6345,20.2032,118.955
"1898",9465.05,8091.34,6917,5911.48,5044.36,4298.72,3662.27,3120.43,2659.29,2266.79,1932.62,1648.07,1405.7,1199.23,1023.29,873.346,745.524,636.539,543.595,464.315,396.681,338.968,289.708,247.633,211.675,180.94,154.669,132.213,113.018,96.61,82.5839,70.5941,60.3451,51.584,44.0949,37.6931,32.2208,27.5429,23.5441,20.1259,118.5
"1899",9464.55,8090.89,6916.61,5911.06,5043.46,4297.16,3660.16,3117.96,2656.62,2264.02,1929.86,1645.36,1403.1,1196.76,1020.98,871.192,743.534,634.711,541.925,462.796,395.3,337.719,288.585,246.646,210.825,180.212,154.046,131.679,112.561,96.2194,82.25,70.3088,60.1011,51.3755,43.9167,37.5408,32.0905,27.4315,23.4489,20.0446,118.02
"1900",9464.07,8090.47,6916.23,5910.63,5042.57,4295.59,3658.05,3115.49,2653.93,2261.25,1927.08,1642.64,1400.49,1194.28,1018.65,869.029,741.536,632.877,540.25,461.272,393.92,336.469,287.457,245.636,209.939,179.449,153.392,131.12,112.082,95.8094,81.8995,70.0091,59.845,51.1565,43.7295,37.3807,31.9537,27.3146,23.349,19.9591,117.517
"1901",9463.63,8090.06,6915.87,5910.21,5041.67,4294.02,3655.93,3113,2651.24,2258.46,1924.29,1639.92,1397.87,1191.8,1016.32,866.858,739.531,631.037,538.569,459.745,392.536,335.22,286.331,244.622,209.033,178.655,152.709,130.535,111.581,95.3803,81.5325,69.6953,59.5768,50.9272,43.5335,37.2132,31.8105,27.1922,23.2443,19.8697,116.991
"1902",9463.21,8089.68,6915.52,5909.81,5040.78,4292.44,3653.79,3110.5,2648.54,2255.67,1921.49,1637.18,1395.23,1189.3,1013.98,864.68,737.52,629.191,536.884,458.213,391.149,333.969,285.204,243.609,208.124,177.844,151.999,129.924,111.058,94.9327,81.1492,69.3675,59.2965,50.6877,43.3287,37.0381,31.6609,27.0642,23.135,19.7762,116.44
"1903",9462.84,8089.33,6915.19,5909.42,5039.89,4290.87,3651.66,3108,2645.82,2252.86,1918.68,1634.43,1392.59,1186.8,1011.63,862.495,735.503,627.339,535.194,456.677,389.759,332.714,284.076,242.597,207.216,177.031,151.275,129.291,110.514,94.4669,80.7504,69.0261,59.0045,50.438,43.1153,36.8557,31.5049,26.9309,23.021,19.6788,115.867
"1904",9462.52,8089.01,6914.89,5909.04,5039.02,4289.29,3649.52,3105.49,2643.1,2250.05,1915.87,1631.68,1389.95,1184.28,1009.27,860.303,733.479,625.483,533.499,455.137,388.365,331.457,282.945,241.582,206.308,176.219,150.55,128.647,109.951,93.983,80.3361,68.6714,58.7008,50.1783,42.8933,36.6659,31.3427,26.7922,22.9025,19.5774,115.27
"1905",9462.26,8088.73,6914.62,5908.69,5038.16,4287.72,3647.38,3102.97,2640.37,2247.23,1913.04,1628.92,1387.29,1181.77,1006.91,858.105,731.45,623.621,531.8,453.594,386.968,330.197,281.813,240.567,205.399,175.408,149.826,128.001,109.379,93.4834,79.9066,68.3037,58.386,49.9089,42.6628,36.4689,31.1742,26.6483,22.7794,19.4722,114.65
"1906",9462.07,8088.51,6914.38,5908.36,5037.31,4286.16,3645.24,3100.45,2637.63,2244.4,1910.21,1626.15,1384.63,1179.24,1004.54,855.902,729.416,621.755,530.098,452.047,385.569,328.935,280.678,239.55,204.489,174.596,149.102,127.357,108.805,92.9753,79.4638,67.9231,58.0603,49.63,42.4241,36.2647,30.9997,26.4991,22.6519,19.3632,114.008
"1907",9461.95,8088.34,6914.19,5908.06,5036.48,4284.61,3643.11,3097.93,2634.89,2241.56,1907.37,1623.37,1381.96,1176.71,1002.16,853.695,727.378,619.885,528.391,450.497,384.167,327.671,279.542,238.531,203.578,173.783,148.378,126.713,108.233,92.4668,79.014,67.5314,57.7236,49.3418,42.1774,36.0536,30.8191,26.3447,22.5199,19.2504,113.344
"1908",9461.92,8088.24,6914.05,5907.8,5035.68,4283.07,3640.98,3095.41,2632.15,2238.72,1904.53,1620.59,1379.29,1174.18,999.786,851.483,725.336,618.012,526.682,448.944,382.762,326.405,278.404,237.511,202.666,172.969,147.653,126.069,107.661,91.9591,78.5639,67.1337,57.3776,49.0445,41.923,35.8358,30.6327,26.1853,22.3836,19.1339,112.658
