Fleet,Lengths,Ages
Winter North,1.1322,2.937
Summer North,1.001,1.1684
Winter South,1.0921,0.9932
Summer South,0.4868,0.7214
Triennial Early Survey,0.2302,-
Triennial Late Survey,0.9604,-
NWFSC WCGBT Survey,0.2583,0.0755
