name,area,Depth_m.1,Depth_m.2,Latitude_dd.1,Latitude_dd.2
shallow_van_con,71666050.48,55,100,43,49
shallow_eur,19314181.44,55,100,40.5,43
shallow_mon_con,55018398.35,55,100,34.5,40.5
deep_van_col,207116775.1,100,500,43,49
deep_eur,40166880.9,100,500,40.5,43
deep_mon_con,108945567.4,100,500,34.5,40.5
