"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1928",6101.6,5780.03,5475.31,5186.55,4912.96,4653.77,4408.21,4175.59,3955.23,3746.49,3548.79,3360.74,3183.52,3015.66,2856.66,2706.06,2563.41,2428.28,2300.27,2179.01,2064.13,1955.31,1852.23,1754.59,1662.1,1574.49,1491.5,1412.9,1338.44,1264.72,1198.24,1135.25,1075.57,1019.03,965.463,914.711,866.626,821.07,777.908,737.015,698.271,661.565,626.788,593.839,562.622,533.046,505.025,478.477,453.324,429.494,406.916,385.526,365.259,346.059,327.867,310.632,294.302,278.832,264.174,250.287,4510.93
"1929",6102.33,5780.85,5476.18,5187.48,4913.9,4654.69,4409.12,4176.46,3956.06,3747.28,3549.51,3362.21,3184.04,3016.14,2857.1,2706.47,2563.78,2428.63,2300.61,2179.33,2064.44,1955.6,1852.51,1754.84,1662.34,1574.71,1491.71,1413.09,1338.61,1268.07,1198.23,1135.24,1075.56,1019.02,965.454,914.702,866.618,821.062,777.9,737.008,698.265,661.558,626.782,593.833,562.617,533.041,505.02,478.472,453.32,429.49,406.913,385.522,365.256,346.055,327.864,310.629,294.3,278.829,264.171,250.285,4510.88
"1930",6102.92,5781.54,5476.96,5188.31,4914.79,4655.59,4410,4177.33,3956.9,3748.07,3550.26,3362.89,3185.44,3016.63,2857.56,2706.89,2564.17,2428.99,2300.95,2179.65,2064.75,1955.9,1852.79,1755.11,1662.58,1574.94,1491.92,1413.28,1338.79,1268.24,1201.4,1135.23,1075.55,1019.01,965.446,914.695,866.611,821.055,777.894,737.002,698.259,661.553,626.777,593.829,562.612,533.037,505.016,478.469,453.317,429.487,406.909,385.519,365.253,346.053,327.861,310.626,294.297,278.827,264.169,250.283,4510.85
"1931",6103.41,5782.1,5477.62,5189.05,4915.57,4656.42,4410.85,4178.16,3957.71,3748.86,3551.01,3363.6,3186.08,3017.96,2858.03,2707.32,2564.57,2429.36,2301.29,2179.97,2065.06,1956.2,1853.07,1755.38,1662.83,1575.17,1492.13,1413.48,1338.98,1268.4,1201.56,1138.24,1075.54,1019.01,965.438,914.687,866.604,821.049,777.888,736.996,698.254,661.548,626.772,593.824,562.608,533.033,505.012,478.465,453.313,429.483,406.906,385.516,365.25,346.05,327.859,310.624,294.295,278.825,264.167,250.281,4510.81
"1932",6103.89,5782.57,5478.15,5189.67,4916.27,4657.16,4411.64,4178.97,3958.51,3749.64,3551.77,3364.32,3186.76,3018.58,2859.29,2707.77,2564.99,2429.74,2301.64,2180.3,2065.36,1956.49,1853.35,1755.65,1663.09,1575.41,1492.36,1413.69,1339.17,1268.58,1201.72,1138.39,1078.4,1019,965.432,914.681,866.598,821.043,777.883,736.991,698.249,661.543,626.768,593.82,562.604,533.029,505.009,478.462,453.31,429.48,406.903,385.513,365.248,346.047,327.856,310.622,294.293,278.823,264.165,250.279,4510.78
"1933",6104.56,5783.02,5478.59,5190.17,4916.86,4657.83,4412.34,4179.72,3959.27,3750.4,3552.51,3365.04,3187.44,3019.22,2859.88,2708.97,2565.41,2430.14,2302,2180.63,2065.67,1956.78,1853.63,1755.91,1663.35,1575.65,1492.59,1413.9,1339.36,1268.76,1201.89,1138.54,1078.54,1021.7,965.426,914.676,866.593,821.038,777.878,736.987,698.245,661.54,626.764,593.816,562.601,533.026,505.006,478.459,453.307,429.478,406.901,385.511,365.246,346.045,327.855,310.62,294.291,278.821,264.164,250.277,4510.76
"1934",6105.76,5783.66,5479.02,5190.59,4917.33,4658.38,4412.97,4180.38,3959.98,3751.11,3553.22,3365.73,3188.12,3019.86,2860.48,2709.52,2566.54,2430.53,2302.37,2180.97,2065.98,1957.07,1853.9,1756.17,1663.6,1575.89,1492.81,1414.11,1339.56,1268.95,1202.06,1138.7,1078.68,1021.83,967.986,914.668,866.586,821.031,777.872,736.981,698.239,661.534,626.759,593.811,562.596,533.021,505.002,478.455,453.303,429.474,406.898,385.508,365.243,346.043,327.852,310.617,294.289,278.819,264.162,250.275,4510.72
"1935",6108.07,5784.8,5479.62,5190.99,4917.72,4658.83,4413.49,4180.96,3960.58,3751.74,3553.85,3366.36,3188.73,3020.46,2861.05,2710.05,2567.03,2431.57,2302.72,2181.29,2066.28,1957.34,1854.15,1756.41,1663.82,1576.11,1493.02,1414.31,1339.75,1269.12,1202.22,1138.84,1078.82,1021.96,968.098,917.083,866.569,821.015,777.856,736.966,698.225,661.521,626.746,593.799,562.585,533.011,504.992,478.445,453.294,429.466,406.89,385.5,365.235,346.036,327.845,310.611,294.283,278.813,264.157,250.27,4510.63
"1936",6112.3,5786.98,5480.69,5191.55,4918.1,4659.19,4413.88,4181.38,3961.02,3752.18,3554.31,3366.82,3189.19,3020.91,2861.5,2710.48,2567.44,2431.94,2303.61,2181.54,2066.5,1957.54,1854.34,1756.58,1663.98,1576.26,1493.17,1414.45,1339.88,1269.25,1202.33,1138.95,1078.91,1022.04,968.177,917.153,868.822,820.966,777.81,736.922,698.184,661.482,626.709,593.764,562.551,532.979,504.962,478.417,453.268,429.44,406.866,385.477,365.214,346.015,327.826,310.593,294.266,278.797,264.141,250.256,4510.36
"1937",6119.71,5790.99,5482.77,5192.58,4918.64,4659.56,4414.25,4181.83,3961.54,3752.75,3554.88,3367.41,3189.78,3021.49,2862.07,2711.03,2567.96,2432.43,2304.06,2182.48,2066.83,1957.84,1854.61,1756.83,1664.21,1576.48,1493.38,1414.66,1340.08,1269.43,1202.51,1139.11,1079.06,1022.18,968.303,917.269,868.927,823.138,777.799,736.911,698.174,661.472,626.7,593.756,562.543,532.971,504.954,478.41,453.261,429.434,406.86,385.472,365.208,346.01,327.821,310.588,294.261,278.793,264.137,250.252,4510.29
